# OpenTelemetry Metrics report: .csv, 4 fields: 
MappedFileStorage.totalBytesMapped,1772370415137000000,1772370475265000000,198443008
FilePageCache.maxCacheSizeInBytes,1772370415137000000,1772370475265000000,287350784
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772370415137000000,1772370475265000000,287350784
StorageLockContext.competingThreads.max,1772370415137000000,1772370475265000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772370415137000000,1772370475265000000,34135
FilePageCache.maxRegisteredFiles,1772370415137000000,1772370475265000000,449
DirectByteBufferAllocator.hits,1772370415137000000,1772370475265000000,3
FilePageCache.pageFastCacheHits,1772370415137000000,1772370475265000000,24298
StorageLockContext.competingThreads.avg,1772370415137000000,1772370475265000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1772370415137000000,1772370475265000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772370415137000000,1772370475265000000,0
DirectByteBufferAllocator.misses,1772370415137000000,1772370475265000000,279
DirectByteBufferAllocator.reclaimed,1772370415137000000,1772370475265000000,3
FilePageCache.totalPageDisposalsUs,1772370415137000000,1772370475265000000,2769
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772370475265000000,1772370511759000000,0
workspaceModel.update.unloaded.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772370475265000000,1772370511759000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772370475265000000,1772370511759000000,0
workspaceModel.replace.project.model.ms,1772370475265000000,1772370511759000000,0
workspaceModel.cachedValue.calculated.count,1772370475265000000,1772370511759000000,0
workspaceModel.check.recursive.update.ms,1772370475265000000,1772370511759000000,0
workspaceModel.to.snapshot.ms,1772370475265000000,1772370511759000000,0
workspaceModel.full.replace.project.model.ms,1772370475265000000,1772370511759000000,0
workspaceModel.collect.changes.ms,1772370475265000000,1772370511759000000,0
workspaceModel.init.bridges.ms,1772370475265000000,1772370511759000000,0
workspaceModel.loading.total.ms,1772370475265000000,1772370511759000000,0
workspaceModel.loading.from.cache.ms,1772370475265000000,1772370511759000000,0
workspaceModel.updates.precise.ms,1772370475265000000,1772370511759000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772370475265000000,1772370511759000000,0
workspaceModel.on.before.changed.ms,1772370475265000000,1772370511759000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.on.changed.ms,1772370475265000000,1772370511759000000,0
workspaceModel.cachedValue.total.get.count,1772370475265000000,1772370511759000000,3
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772370475265000000,1772370511759000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772370475265000000,1772370511759000000,0
workspaceModel.pre.handlers.ms,1772370475265000000,1772370511759000000,0
workspaceModel.initializing.ms,1772370475265000000,1772370511759000000,0
workspaceModel.cachedValue.from.cache.count,1772370475265000000,1772370511759000000,3
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772370475265000000,1772370511759000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772370475265000000,1772370511759000000,0
workspaceModel.workspaceFileIndexData.init.ms,1772370475265000000,1772370511759000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772370475265000000,1772370511759000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1772370475265000000,1772370511759000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772370475265000000,1772370511759000000,0
workspaceModel.cachedValue.clear.count,1772370475265000000,1772370511759000000,0
workspaceModel.updates.ms,1772370475265000000,1772370511759000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1772370475265000000,1772370511759000000,0
workspaceModel.cachedValueWithParameters.clear.count,1772370475265000000,1772370511759000000,0
workspaceModel.updates.count,1772370475265000000,1772370511759000000,0
workspaceModel.workspaceFileIndexData.instances.count,1772370475265000000,1772370511759000000,0
writeAction.max.wait.ms,1772370475265000000,1772370511759000000,89
DiskQueryRelay.tasksRequested,1772370475265000000,1772370511759000000,0
writeAction.count,1772370475265000000,1772370511759000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1772370475265000000,1772370511759000000,0
writeAction.median.wait.ms,1772370475265000000,1772370511759000000,400
DiskQueryRelay.tasksExecuted,1772370475265000000,1772370511759000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1772370475265000000,1772370511759000000,0
writeAction.wait.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactManagerBridge.commit.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1772370475265000000,1772370511759000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772370475265000000,1772370511759000000,0
OS.loadAverage,1772370475265000000,1772370511759000000,3.51318359375
JVM.committedHeapBytes,1772370475265000000,1772370511759000000,991952896
JVM.totalTimeAtSafepointsMs,1772370475265000000,1772370511759000000,1
JVM.totalTimeToSafepointsMs,1772370475265000000,1772370511759000000,1
JVM.totalCpuTimeMs,1772370475265000000,1772370511759000000,1818
JVM.GC.collections,1772370475265000000,1772370511759000000,0
MEM.ramBytes,1772370475265000000,1772370511759000000,1087111168
JVM.totalDirectByteBuffersBytes,1772370475265000000,1772370511759000000,47747591
JVM.newThreadsCount,1772370475265000000,1772370511759000000,8
MEM.ramMinusFileMappingsBytes,1772370475265000000,1772370511759000000,461307904
JVM.GC.collectionTimesMs,1772370475265000000,1772370511759000000,0
MEM.fileMappingsRamBytes,1772370475265000000,1772370511759000000,622297088
JVM.maxThreadCount,1772370475265000000,1772370511759000000,159
JVM.maxHeapBytes,1772370475265000000,1772370511759000000,2147483648
JVM.totalBytesAllocated,1772370475265000000,1772370511759000000,27609352
JVM.threadCount,1772370475265000000,1772370511759000000,76
JVM.totalSafepointCount,1772370475265000000,1772370511759000000,17
MEM.ramPlusSwapMinusFileMappingsBytes,1772370475265000000,1772370511759000000,2109356672
JVM.usedNativeBytes,1772370475265000000,1772370511759000000,637391184
JVM.usedHeapBytes,1772370475265000000,1772370511759000000,847685152
VFS.folderCaseSensitivityReads,1772370475265000000,1772370511759000000,0
VFS.fileByIdCache.hits,1772370475265000000,1772370511759000000,0
VFS.fileByIdCache.misses,1772370475265000000,1772370511759000000,0
VFS.fileChildByName,1772370475265000000,1772370511759000000,0
VFS.invertedFileNameIndex.requests,1772370475265000000,1772370511759000000,0
NonBlockingReadAction.failedExecutionTimeUs,1772370475265000000,1772370511759000000,0
WriteAction.executionsCount,1772370475265000000,1772370511759000000,0
NonBlockingReadAction.finalizedExecutionsCount,1772370475265000000,1772370511759000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1772370475265000000,1772370511759000000,0
ReadAction.executionsCount,1772370475265000000,1772370511759000000,6
NonBlockingReadAction.failedExecutionsCount,1772370475265000000,1772370511759000000,0
Indexing.writesQueuedMin,1772370475265000000,1772370511759000000,9223372036854775807
Indexes.stubs.lookupDurationMaxMs,1772370475265000000,1772370511759000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1772370475265000000,1772370511759000000,0
Indexes.allKeys.lookupDuration90PMs,1772370475265000000,1772370511759000000,0.0
Indexing.totalTimeIndexersSleptMs,1772370475265000000,1772370511759000000,0
Indexing.cache.totalCacheEvicted,1772370475265000000,1772370511759000000,0
Indexes.allKeys.lookups,1772370475265000000,1772370511759000000,0
Indexes.stubs.lookupDurationAvgMs,1772370475265000000,1772370511759000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1772370475265000000,1772370511759000000,0.0
Indexing.cache.totalCacheMisses,1772370475265000000,1772370511759000000,0
Indexes.entries.lookupDuration90PMs,1772370475265000000,1772370511759000000,0.0
Indexes.entries.lookups,1772370475265000000,1772370511759000000,0
Indexes.allKeys.lookupDurationMaxMs,1772370475265000000,1772370511759000000,0.0
Indexes.stubs.lookupDuration90PMs,1772370475265000000,1772370511759000000,0.0
Indexes.entries.lookupDurationAvgMs,1772370475265000000,1772370511759000000,0.0
Indexes.stubs.lookups,1772370475265000000,1772370511759000000,0
Indexes.entries.lookupDurationMaxMs,1772370475265000000,1772370511759000000,0.0
Indexing.writesQueuedMax,1772370475265000000,1772370511759000000,0
Indexing.cache.totalCacheAccesses,1772370475265000000,1772370511759000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1772370475265000000,1772370511759000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1772370475265000000,1772370511759000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1772370475265000000,1772370511759000000,0
workspaceModel.global.apply.state.to.project.ms,1772370475265000000,1772370511759000000,0
jps.app.storage.content.reader.load.component.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772370475265000000,1772370511759000000,0
jps.load.initial.state.ms,1772370475265000000,1772370511759000000,0
workspaceModel.global.updates.count,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772370475265000000,1772370511759000000,0
workspaceModel.sync.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.orphan.listener.update.ms,1772370475265000000,1772370511759000000,0
jps.module.iml.entities.serializer.save.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.save.cache.to.file.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772370475265000000,1772370511759000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772370475265000000,1772370511759000000,0
jps.artifact.entities.serializer.save.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772370475265000000,1772370511759000000,0
jps.load.project.to.empty.storage.ms,1772370475265000000,1772370511759000000,0
jps.global.initialize.library.bridges.ms,1772370475265000000,1772370511759000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772370475265000000,1772370511759000000,0
jps.library.entities.serializer.load.entities.ms,1772370475265000000,1772370511759000000,0
jps.apply.loaded.storage.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.load.cache.from.file.ms,1772370475265000000,1772370511759000000,0
jps.facet.change.listener.process.change.events.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772370475265000000,1772370511759000000,0
jps.facet.change.listener.init.bridge.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772370475265000000,1772370511759000000,0
jps.module.iml.entities.serializer.load.entities.ms,1772370475265000000,1772370511759000000,0
jps.reload.project.entities.ms,1772370475265000000,1772370511759000000,0
jps.library.entities.serializer.save.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772370475265000000,1772370511759000000,0
jps.storage.jps.conf.reader.load.component.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1772370475265000000,1772370511759000000,0
jps.global.handle.before.change.events.ms,1772370475265000000,1772370511759000000,0
jps.artifact.entities.serializer.load.entities.ms,1772370475265000000,1772370511759000000,0
jps.global.handle.changed.events.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1772370475265000000,1772370511759000000,0
jps.project.serializers.save.ms,1772370475265000000,1772370511759000000,0
jps.save.global.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleBridge.before.changed.ms,1772370475265000000,1772370511759000000,0
jps.facet.change.listener.before.change.events.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772370475265000000,1772370511759000000,0
jps.global.get.library.ms,1772370475265000000,1772370511759000000,0
jps.global.get.libraries.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.instances.count,1772370475265000000,1772370511759000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772370475265000000,1772370511759000000,0
workspaceModel.do.save.caches.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772370475265000000,1772370511759000000,0
jps.project.serializers.load.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleBridge.update.option.ms,1772370475265000000,1772370511759000000,0
workspaceModel.global.updates.ms,1772370475265000000,1772370511759000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772370475265000000,1772370511759000000,0
jps.global.initialize.library.bridges.after.loading.ms,1772370475265000000,1772370511759000000,0
jps.save.changed.project.entities.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772370475265000000,1772370511759000000,0
jps.global.get.library.by.name.ms,1772370475265000000,1772370511759000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772370475265000000,1772370511759000000,0
cacheStateStorage.set.counter,1772370475265000000,1772370511759000000,0
cacheStateStorage.get.counter,1772370475265000000,1772370511759000000,0
cacheStateStorage.get.duration,1772370475265000000,1772370511759000000,0
cacheStateStorage.set.duration,1772370475265000000,1772370511759000000,0
StorageLockContext.competingThreads.90P,1772370475265000000,1772370511759000000,0
FilePageCache.pageLoads,1772370475265000000,1772370511759000000,0
MappedFileStorage.storages,1772370475265000000,1772370511759000000,0
FilePageCache.disposedBuffers,1772370475265000000,1772370511759000000,277
MappedFileStorage.totalPagesMapped,1772370475265000000,1772370511759000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1772370475265000000,1772370511759000000,0
FilePageCache.uncachedFileAccess,1772370475265000000,1772370511759000000,0
FilePageCache.pageHits,1772370475265000000,1772370511759000000,0
FilePageCache.totalPageLoadsUs,1772370475265000000,1772370511759000000,0
DirectByteBufferAllocator.disposed,1772370475265000000,1772370511759000000,232
FilePageCache.capacityInBytes,1772370475265000000,1772370511759000000,629145600
MappedFileStorage.totalBytesMapped,1772370475265000000,1772370511759000000,0
FilePageCache.maxCacheSizeInBytes,1772370475265000000,1772370511759000000,287350784
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772370475265000000,1772370511759000000,44081152
StorageLockContext.competingThreads.max,1772370475265000000,1772370511759000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772370475265000000,1772370511759000000,34135
FilePageCache.maxRegisteredFiles,1772370475265000000,1772370511759000000,449
DirectByteBufferAllocator.hits,1772370475265000000,1772370511759000000,0
FilePageCache.pageFastCacheHits,1772370475265000000,1772370511759000000,0
StorageLockContext.competingThreads.avg,1772370475265000000,1772370511759000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1772370475265000000,1772370511759000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772370475265000000,1772370511759000000,41984000
DirectByteBufferAllocator.misses,1772370475265000000,1772370511759000000,0
DirectByteBufferAllocator.reclaimed,1772370475265000000,1772370511759000000,45
FilePageCache.totalPageDisposalsUs,1772370475265000000,1772370511759000000,0
